"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"Totaal misdrijven";"2012 januari";"Amsterdam";8466
"Totaal misdrijven";"2012 februari";"Amsterdam";7374
"Totaal misdrijven";"2012 maart";"Amsterdam";8645
"Totaal misdrijven";"2012 april";"Amsterdam";8143
"Totaal misdrijven";"2012 mei";"Amsterdam";8333
"Totaal misdrijven";"2012 juni";"Amsterdam";7930
"Totaal misdrijven";"2012 juli";"Amsterdam";8059
"Totaal misdrijven";"2012 augustus";"Amsterdam";8178
"Totaal misdrijven";"2012 september";"Amsterdam";7689
"Totaal misdrijven";"2012 oktober";"Amsterdam";9101
"Totaal misdrijven";"2012 november";"Amsterdam";8363
"Totaal misdrijven";"2012 december";"Amsterdam";8249
"Totaal misdrijven";"2013 januari";"Amsterdam";8270
"Totaal misdrijven";"2013 februari";"Amsterdam";7597
"Totaal misdrijven";"2013 maart";"Amsterdam";8233
"Totaal misdrijven";"2013 april";"Amsterdam";7939
"Totaal misdrijven";"2013 mei";"Amsterdam";8819
"Totaal misdrijven";"2013 juni";"Amsterdam";8251
"Totaal misdrijven";"2013 juli";"Amsterdam";8539
"Totaal misdrijven";"2013 augustus";"Amsterdam";8391
"Totaal misdrijven";"2013 september";"Amsterdam";8033
"Totaal misdrijven";"2013 oktober";"Amsterdam";8539
"Totaal misdrijven";"2013 november";"Amsterdam";8630
"Totaal misdrijven";"2013 december";"Amsterdam";7867
"Totaal misdrijven";"2014 januari";"Amsterdam";8392
"Totaal misdrijven";"2014  februari";"Amsterdam";6978
"Totaal misdrijven";"2014 maart";"Amsterdam";7924
"Totaal misdrijven";"2014 april";"Amsterdam";8248
"Totaal misdrijven";"2014 mei";"Amsterdam";7949
"Totaal misdrijven";"2014 juni";"Amsterdam";7735
"Totaal misdrijven";"2014 juli";"Amsterdam";7244
"Totaal misdrijven";"2014 augustus";"Amsterdam";7535
"Totaal misdrijven";"2014 september ";"Amsterdam";7782
"Totaal misdrijven";"2014 oktober";"Amsterdam";8373
"Totaal misdrijven";"2014 november";"Amsterdam";8058
"Totaal misdrijven";"2014 december";"Amsterdam";7980
"Totaal misdrijven";"2015 januari";"Amsterdam";7819
"Totaal misdrijven";"2015  februari";"Amsterdam";7045
"Totaal misdrijven";"2015 maart";"Amsterdam";7475
"Totaal misdrijven";"2015 april";"Amsterdam";8228
"Totaal misdrijven";"2015 mei";"Amsterdam";7839
"Totaal misdrijven";"2015 juni";"Amsterdam";7728
"Totaal misdrijven";"2015 juli";"Amsterdam";7811
"Totaal misdrijven";"2015 augustus";"Amsterdam";7753
"Totaal misdrijven";"2015 september";"Amsterdam";7533
"Totaal misdrijven";"2015 oktober";"Amsterdam";8756
"Totaal misdrijven";"2015 november";"Amsterdam";8316
"Totaal misdrijven";"2015 december";"Amsterdam";8091
"Totaal misdrijven";"2016 januari";"Amsterdam";7886
"Totaal misdrijven";"2016  februari";"Amsterdam";7330
"Totaal misdrijven";"2016 maart";"Amsterdam";7402
"Totaal misdrijven";"2016 april";"Amsterdam";7449
"Totaal misdrijven";"2016 mei";"Amsterdam";7659
"Totaal misdrijven";"2016 juni";"Amsterdam";7398
"Totaal misdrijven";"2016 juli";"Amsterdam";7484
"Totaal misdrijven";"2016 augustus";"Amsterdam";7384
"Totaal misdrijven";"2016 september";"Amsterdam";7755
"Totaal misdrijven";"2016 oktober";"Amsterdam";7860
"Totaal misdrijven";"2016 november";"Amsterdam";7311
"Totaal misdrijven";"2016 december";"Amsterdam";7252
"Totaal misdrijven";"2017 januari";"Amsterdam";7455
"Totaal misdrijven";"2017 februari";"Amsterdam";6616
"Totaal misdrijven";"2017 maart";"Amsterdam";7659
"Totaal misdrijven";"2017 april";"Amsterdam";7234
"Totaal misdrijven";"2017 mei";"Amsterdam";7500
"Totaal misdrijven";"2017 juni";"Amsterdam";6986
"Totaal misdrijven";"2017 juli";"Amsterdam";7433
"Totaal misdrijven";"2017 augustus";"Amsterdam";6916
"Totaal misdrijven";"2017 september";"Amsterdam";6659
"Totaal misdrijven";"2017 oktober";"Amsterdam";7349
"Totaal misdrijven";"2017 november";"Amsterdam";6771
"Totaal misdrijven";"2017 december";"Amsterdam";6571
"Totaal misdrijven";"2018 januari ";"Amsterdam";7410
"Totaal misdrijven";"2018 februari";"Amsterdam";5899
"Totaal misdrijven";"2018 maart";"Amsterdam";6190
"Totaal misdrijven";"2018 april";"Amsterdam";6605
"Totaal misdrijven";"2018 mei";"Amsterdam";6685
"Totaal misdrijven";"2018 juni";"Amsterdam";6622
"Totaal misdrijven";"2018 juli";"Amsterdam";7079
"Totaal misdrijven";"2018 augustus";"Amsterdam";6795
"Totaal misdrijven";"2018 september";"Amsterdam";6495
"Totaal misdrijven";"2018 oktober";"Amsterdam";7407
"Totaal misdrijven";"2018 november";"Amsterdam";7100
"Totaal misdrijven";"2018 december";"Amsterdam";6519
"Totaal misdrijven";"2019 januari";"Amsterdam";6760
"Totaal misdrijven";"2019 februari";"Amsterdam";6088
"Totaal misdrijven";"2019 maart";"Amsterdam";6770
"Totaal misdrijven";"2019 april";"Amsterdam";6571
"Totaal misdrijven";"2019 mei";"Amsterdam";6877
"Totaal misdrijven";"2019 juni";"Amsterdam";6575
"Totaal misdrijven";"2019 juli";"Amsterdam";6754
"Totaal misdrijven";"2019 augustus";"Amsterdam";6583
"Totaal misdrijven";"2019 september";"Amsterdam";6535
"Totaal misdrijven";"2019 oktober";"Amsterdam";7325
"Totaal misdrijven";"2019 november";"Amsterdam";7040
"Totaal misdrijven";"2019 december";"Amsterdam";6642
"Totaal misdrijven";"2020 januari";"Amsterdam";6858
"Totaal misdrijven";"2020 februari";"Amsterdam";6050
"Totaal misdrijven";"2020 maart";"Amsterdam";5876
"Totaal misdrijven";"2020 april";"Amsterdam";4868
"Totaal misdrijven";"2020 mei";"Amsterdam";4932
"Totaal misdrijven";"2020 juni";"Amsterdam";5801
"Totaal misdrijven";"2020 juli";"Amsterdam";6397
"Totaal misdrijven";"2020 augustus";"Amsterdam";5998
"Totaal misdrijven";"2020 september";"Amsterdam";6594
"Totaal misdrijven";"2020 oktober";"Amsterdam";6043
"Totaal misdrijven";"2020 november";"Amsterdam";5796
"Totaal misdrijven";"2020 december";"Amsterdam";5308
"Totaal misdrijven";"2021 januari";"Amsterdam";5187
"Totaal misdrijven";"2021 februari";"Amsterdam";4150
"Totaal misdrijven";"2021 maart";"Amsterdam";5670
"Totaal misdrijven";"2021 april";"Amsterdam";4706
"Totaal misdrijven";"2021 mei";"Amsterdam";5072
"Totaal misdrijven";"2021 juni";"Amsterdam";5385
"Totaal misdrijven";"2021 juli";"Amsterdam";5506
"Totaal misdrijven";"2021 augustus";"Amsterdam";5387
"Totaal misdrijven";"2021 september";"Amsterdam";5427
"Totaal misdrijven";"2021 oktober";"Amsterdam";6406
"Totaal misdrijven";"2021  november";"Amsterdam";6073
"Totaal misdrijven";"2021 december";"Amsterdam";5228
"Totaal misdrijven";"2022 januari";"Amsterdam";4759
"Totaal misdrijven";"2022 februari";"Amsterdam";4915
"Totaal misdrijven";"2022 maart";"Amsterdam";6122
"Totaal misdrijven";"2022 april";"Amsterdam";6377
"Totaal misdrijven";"2022 mei";"Amsterdam";6861
"Totaal misdrijven";"2022 juni";"Amsterdam";6312
"Totaal misdrijven";"2022 juli";"Amsterdam";6517
"Totaal misdrijven";"2022 augustus";"Amsterdam";6527
"Totaal misdrijven";"2022 september";"Amsterdam";6463
"Totaal misdrijven";"2022 oktober";"Amsterdam";7609
"Totaal misdrijven";"2022 november";"Amsterdam";7348
"Totaal misdrijven";"2022 december";"Amsterdam";6586
"Totaal misdrijven";"2023 januari";"Amsterdam";7020
"Totaal misdrijven";"2023 februari";"Amsterdam";6025
"Totaal misdrijven";"2023 maart";"Amsterdam";6550
"Totaal misdrijven";"2023 april";"Amsterdam";6522
"Totaal misdrijven";"2023 mei";"Amsterdam";6946
"Totaal misdrijven";"2023 juni";"Amsterdam";6904
"Totaal misdrijven";"2023 juli";"Amsterdam";7531
"Totaal misdrijven";"2023 augustus";"Amsterdam";6588
"Totaal misdrijven";"2023 september";"Amsterdam";6552
"Totaal misdrijven";"2023 oktober";"Amsterdam";7380
"Totaal misdrijven";"2023 november";"Amsterdam";6780
"Totaal misdrijven";"2023 december";"Amsterdam";6392
"Totaal misdrijven";"2024 januari";"Amsterdam";6739
"Totaal misdrijven";"2024 februari";"Amsterdam";6153
"Totaal misdrijven";"2024 maart";"Amsterdam";6787
"Totaal misdrijven";"2024 april";"Amsterdam";6407
"Totaal misdrijven";"2024 mei";"Amsterdam";7062
"Totaal misdrijven";"2024 juni";"Amsterdam";6588
"Totaal misdrijven";"2024 juli";"Amsterdam";7368
"Totaal misdrijven";"2024 augustus";"Amsterdam";6719
"Totaal misdrijven";"2024 september";"Amsterdam";7232
"Totaal misdrijven";"2024 oktober";"Amsterdam";7830
"Totaal misdrijven";"2024 november";"Amsterdam";6471
"Totaal misdrijven";"2024 december";"Amsterdam";6871
"Totaal misdrijven";"2025 januari";"Amsterdam";6021
"Totaal misdrijven";"2025 februari";"Amsterdam";5824
"Totaal misdrijven";"2025 maart";"Amsterdam";6232
"Totaal misdrijven";"2025 april";"Amsterdam";6794
"1.1.1 Diefstal/inbraak woning";"2012 januari";"Amsterdam";624
"1.1.1 Diefstal/inbraak woning";"2012 februari";"Amsterdam";506
"1.1.1 Diefstal/inbraak woning";"2012 maart";"Amsterdam";511
"1.1.1 Diefstal/inbraak woning";"2012 april";"Amsterdam";399
"1.1.1 Diefstal/inbraak woning";"2012 mei";"Amsterdam";398
"1.1.1 Diefstal/inbraak woning";"2012 juni";"Amsterdam";369
"1.1.1 Diefstal/inbraak woning";"2012 juli";"Amsterdam";340
"1.1.1 Diefstal/inbraak woning";"2012 augustus";"Amsterdam";396
"1.1.1 Diefstal/inbraak woning";"2012 september";"Amsterdam";429
"1.1.1 Diefstal/inbraak woning";"2012 oktober";"Amsterdam";593
"1.1.1 Diefstal/inbraak woning";"2012 november";"Amsterdam";642
"1.1.1 Diefstal/inbraak woning";"2012 december";"Amsterdam";796
"1.1.1 Diefstal/inbraak woning";"2013 januari";"Amsterdam";801
"1.1.1 Diefstal/inbraak woning";"2013 februari";"Amsterdam";579
"1.1.1 Diefstal/inbraak woning";"2013 maart";"Amsterdam";588
"1.1.1 Diefstal/inbraak woning";"2013 april";"Amsterdam";470
"1.1.1 Diefstal/inbraak woning";"2013 mei";"Amsterdam";456
"1.1.1 Diefstal/inbraak woning";"2013 juni";"Amsterdam";431
"1.1.1 Diefstal/inbraak woning";"2013 juli";"Amsterdam";510
"1.1.1 Diefstal/inbraak woning";"2013 augustus";"Amsterdam";422
"1.1.1 Diefstal/inbraak woning";"2013 september";"Amsterdam";483
"1.1.1 Diefstal/inbraak woning";"2013 oktober";"Amsterdam";633
"1.1.1 Diefstal/inbraak woning";"2013 november";"Amsterdam";621
"1.1.1 Diefstal/inbraak woning";"2013 december";"Amsterdam";648
"1.1.1 Diefstal/inbraak woning";"2014 januari";"Amsterdam";612
"1.1.1 Diefstal/inbraak woning";"2014  februari";"Amsterdam";499
"1.1.1 Diefstal/inbraak woning";"2014 maart";"Amsterdam";489
"1.1.1 Diefstal/inbraak woning";"2014 april";"Amsterdam";430
"1.1.1 Diefstal/inbraak woning";"2014 mei";"Amsterdam";473
"1.1.1 Diefstal/inbraak woning";"2014 juni";"Amsterdam";415
"1.1.1 Diefstal/inbraak woning";"2014 juli";"Amsterdam";407
"1.1.1 Diefstal/inbraak woning";"2014 augustus";"Amsterdam";446
"1.1.1 Diefstal/inbraak woning";"2014 september ";"Amsterdam";385
"1.1.1 Diefstal/inbraak woning";"2014 oktober";"Amsterdam";393
"1.1.1 Diefstal/inbraak woning";"2014 november";"Amsterdam";447
"1.1.1 Diefstal/inbraak woning";"2014 december";"Amsterdam";568
"1.1.1 Diefstal/inbraak woning";"2015 januari";"Amsterdam";573
"1.1.1 Diefstal/inbraak woning";"2015  februari";"Amsterdam";405
"1.1.1 Diefstal/inbraak woning";"2015 maart";"Amsterdam";454
"1.1.1 Diefstal/inbraak woning";"2015 april";"Amsterdam";386
"1.1.1 Diefstal/inbraak woning";"2015 mei";"Amsterdam";406
"1.1.1 Diefstal/inbraak woning";"2015 juni";"Amsterdam";335
"1.1.1 Diefstal/inbraak woning";"2015 juli";"Amsterdam";439
"1.1.1 Diefstal/inbraak woning";"2015 augustus";"Amsterdam";385
"1.1.1 Diefstal/inbraak woning";"2015 september";"Amsterdam";372
"1.1.1 Diefstal/inbraak woning";"2015 oktober";"Amsterdam";489
"1.1.1 Diefstal/inbraak woning";"2015 november";"Amsterdam";455
"1.1.1 Diefstal/inbraak woning";"2015 december";"Amsterdam";518
"1.1.1 Diefstal/inbraak woning";"2016 januari";"Amsterdam";498
"1.1.1 Diefstal/inbraak woning";"2016  februari";"Amsterdam";353
"1.1.1 Diefstal/inbraak woning";"2016 maart";"Amsterdam";304
"1.1.1 Diefstal/inbraak woning";"2016 april";"Amsterdam";297
"1.1.1 Diefstal/inbraak woning";"2016 mei";"Amsterdam";297
"1.1.1 Diefstal/inbraak woning";"2016 juni";"Amsterdam";336
"1.1.1 Diefstal/inbraak woning";"2016 juli";"Amsterdam";357
"1.1.1 Diefstal/inbraak woning";"2016 augustus";"Amsterdam";365
"1.1.1 Diefstal/inbraak woning";"2016 september";"Amsterdam";368
"1.1.1 Diefstal/inbraak woning";"2016 oktober";"Amsterdam";379
"1.1.1 Diefstal/inbraak woning";"2016 november";"Amsterdam";387
"1.1.1 Diefstal/inbraak woning";"2016 december";"Amsterdam";485
"1.1.1 Diefstal/inbraak woning";"2017 januari";"Amsterdam";541
"1.1.1 Diefstal/inbraak woning";"2017 februari";"Amsterdam";436
"1.1.1 Diefstal/inbraak woning";"2017 maart";"Amsterdam";411
"1.1.1 Diefstal/inbraak woning";"2017 april";"Amsterdam";362
"1.1.1 Diefstal/inbraak woning";"2017 mei";"Amsterdam";348
"1.1.1 Diefstal/inbraak woning";"2017 juni";"Amsterdam";271
"1.1.1 Diefstal/inbraak woning";"2017 juli";"Amsterdam";361
"1.1.1 Diefstal/inbraak woning";"2017 augustus";"Amsterdam";426
"1.1.1 Diefstal/inbraak woning";"2017 september";"Amsterdam";343
"1.1.1 Diefstal/inbraak woning";"2017 oktober";"Amsterdam";374
"1.1.1 Diefstal/inbraak woning";"2017 november";"Amsterdam";332
"1.1.1 Diefstal/inbraak woning";"2017 december";"Amsterdam";393
"1.1.1 Diefstal/inbraak woning";"2018 januari ";"Amsterdam";469
"1.1.1 Diefstal/inbraak woning";"2018 februari";"Amsterdam";317
"1.1.1 Diefstal/inbraak woning";"2018 maart";"Amsterdam";277
"1.1.1 Diefstal/inbraak woning";"2018 april";"Amsterdam";227
"1.1.1 Diefstal/inbraak woning";"2018 mei";"Amsterdam";267
"1.1.1 Diefstal/inbraak woning";"2018 juni";"Amsterdam";264
"1.1.1 Diefstal/inbraak woning";"2018 juli";"Amsterdam";274
"1.1.1 Diefstal/inbraak woning";"2018 augustus";"Amsterdam";310
"1.1.1 Diefstal/inbraak woning";"2018 september";"Amsterdam";245
"1.1.1 Diefstal/inbraak woning";"2018 oktober";"Amsterdam";244
"1.1.1 Diefstal/inbraak woning";"2018 november";"Amsterdam";315
"1.1.1 Diefstal/inbraak woning";"2018 december";"Amsterdam";344
"1.1.1 Diefstal/inbraak woning";"2019 januari";"Amsterdam";362
"1.1.1 Diefstal/inbraak woning";"2019 februari";"Amsterdam";289
"1.1.1 Diefstal/inbraak woning";"2019 maart";"Amsterdam";254
"1.1.1 Diefstal/inbraak woning";"2019 april";"Amsterdam";227
"1.1.1 Diefstal/inbraak woning";"2019 mei";"Amsterdam";248
"1.1.1 Diefstal/inbraak woning";"2019 juni";"Amsterdam";250
"1.1.1 Diefstal/inbraak woning";"2019 juli";"Amsterdam";279
"1.1.1 Diefstal/inbraak woning";"2019 augustus";"Amsterdam";308
"1.1.1 Diefstal/inbraak woning";"2019 september";"Amsterdam";278
"1.1.1 Diefstal/inbraak woning";"2019 oktober";"Amsterdam";298
"1.1.1 Diefstal/inbraak woning";"2019 november";"Amsterdam";300
"1.1.1 Diefstal/inbraak woning";"2019 december";"Amsterdam";334
"1.1.1 Diefstal/inbraak woning";"2020 januari";"Amsterdam";337
"1.1.1 Diefstal/inbraak woning";"2020 februari";"Amsterdam";237
"1.1.1 Diefstal/inbraak woning";"2020 maart";"Amsterdam";181
"1.1.1 Diefstal/inbraak woning";"2020 april";"Amsterdam";130
"1.1.1 Diefstal/inbraak woning";"2020 mei";"Amsterdam";133
"1.1.1 Diefstal/inbraak woning";"2020 juni";"Amsterdam";186
"1.1.1 Diefstal/inbraak woning";"2020 juli";"Amsterdam";251
"1.1.1 Diefstal/inbraak woning";"2020 augustus";"Amsterdam";224
"1.1.1 Diefstal/inbraak woning";"2020 september";"Amsterdam";220
"1.1.1 Diefstal/inbraak woning";"2020 oktober";"Amsterdam";168
"1.1.1 Diefstal/inbraak woning";"2020 november";"Amsterdam";166
"1.1.1 Diefstal/inbraak woning";"2020 december";"Amsterdam";196
"1.1.1 Diefstal/inbraak woning";"2021 januari";"Amsterdam";189
"1.1.1 Diefstal/inbraak woning";"2021 februari";"Amsterdam";98
"1.1.1 Diefstal/inbraak woning";"2021 maart";"Amsterdam";117
"1.1.1 Diefstal/inbraak woning";"2021 april";"Amsterdam";117
"1.1.1 Diefstal/inbraak woning";"2021 mei";"Amsterdam";137
"1.1.1 Diefstal/inbraak woning";"2021 juni";"Amsterdam";147
"1.1.1 Diefstal/inbraak woning";"2021 juli";"Amsterdam";172
"1.1.1 Diefstal/inbraak woning";"2021 augustus";"Amsterdam";186
"1.1.1 Diefstal/inbraak woning";"2021 september";"Amsterdam";129
"1.1.1 Diefstal/inbraak woning";"2021 oktober";"Amsterdam";140
"1.1.1 Diefstal/inbraak woning";"2021  november";"Amsterdam";157
"1.1.1 Diefstal/inbraak woning";"2021 december";"Amsterdam";174
"1.1.1 Diefstal/inbraak woning";"2022 januari";"Amsterdam";165
"1.1.1 Diefstal/inbraak woning";"2022 februari";"Amsterdam";127
"1.1.1 Diefstal/inbraak woning";"2022 maart";"Amsterdam";160
"1.1.1 Diefstal/inbraak woning";"2022 april";"Amsterdam";136
"1.1.1 Diefstal/inbraak woning";"2022 mei";"Amsterdam";124
"1.1.1 Diefstal/inbraak woning";"2022 juni";"Amsterdam";142
"1.1.1 Diefstal/inbraak woning";"2022 juli";"Amsterdam";125
"1.1.1 Diefstal/inbraak woning";"2022 augustus";"Amsterdam";160
"1.1.1 Diefstal/inbraak woning";"2022 september";"Amsterdam";137
"1.1.1 Diefstal/inbraak woning";"2022 oktober";"Amsterdam";151
"1.1.1 Diefstal/inbraak woning";"2022 november";"Amsterdam";151
"1.1.1 Diefstal/inbraak woning";"2022 december";"Amsterdam";153
"1.1.1 Diefstal/inbraak woning";"2023 januari";"Amsterdam";181
"1.1.1 Diefstal/inbraak woning";"2023 februari";"Amsterdam";103
"1.1.1 Diefstal/inbraak woning";"2023 maart";"Amsterdam";123
"1.1.1 Diefstal/inbraak woning";"2023 april";"Amsterdam";121
"1.1.1 Diefstal/inbraak woning";"2023 mei";"Amsterdam";132
"1.1.1 Diefstal/inbraak woning";"2023 juni";"Amsterdam";118
"1.1.1 Diefstal/inbraak woning";"2023 juli";"Amsterdam";181
"1.1.1 Diefstal/inbraak woning";"2023 augustus";"Amsterdam";157
"1.1.1 Diefstal/inbraak woning";"2023 september";"Amsterdam";174
"1.1.1 Diefstal/inbraak woning";"2023 oktober";"Amsterdam";151
"1.1.1 Diefstal/inbraak woning";"2023 november";"Amsterdam";152
"1.1.1 Diefstal/inbraak woning";"2023 december";"Amsterdam";188
"1.1.1 Diefstal/inbraak woning";"2024 januari";"Amsterdam";173
"1.1.1 Diefstal/inbraak woning";"2024 februari";"Amsterdam";108
"1.1.1 Diefstal/inbraak woning";"2024 maart";"Amsterdam";138
"1.1.1 Diefstal/inbraak woning";"2024 april";"Amsterdam";121
"1.1.1 Diefstal/inbraak woning";"2024 mei";"Amsterdam";116
"1.1.1 Diefstal/inbraak woning";"2024 juni";"Amsterdam";128
"1.1.1 Diefstal/inbraak woning";"2024 juli";"Amsterdam";132
"1.1.1 Diefstal/inbraak woning";"2024 augustus";"Amsterdam";124
"1.1.1 Diefstal/inbraak woning";"2024 september";"Amsterdam";119
"1.1.1 Diefstal/inbraak woning";"2024 oktober";"Amsterdam";165
"1.1.1 Diefstal/inbraak woning";"2024 november";"Amsterdam";153
"1.1.1 Diefstal/inbraak woning";"2024 december";"Amsterdam";199
"1.1.1 Diefstal/inbraak woning";"2025 januari";"Amsterdam";169
"1.1.1 Diefstal/inbraak woning";"2025 februari";"Amsterdam";111
"1.1.1 Diefstal/inbraak woning";"2025 maart";"Amsterdam";108
"1.1.1 Diefstal/inbraak woning";"2025 april";"Amsterdam";140
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012 januari";"Amsterdam";125
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012 februari";"Amsterdam";123
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012 maart";"Amsterdam";186
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012 april";"Amsterdam";150
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012 mei";"Amsterdam";90
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012 juni";"Amsterdam";76
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012 juli";"Amsterdam";87
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012 augustus";"Amsterdam";61
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012 september";"Amsterdam";85
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012 oktober";"Amsterdam";118
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012 november";"Amsterdam";115
"1.1.2 Diefstal/inbraak box/garage/schuur";"2012 december";"Amsterdam";128
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013 januari";"Amsterdam";142
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013 februari";"Amsterdam";198
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013 maart";"Amsterdam";197
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013 april";"Amsterdam";167
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013 mei";"Amsterdam";105
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013 juni";"Amsterdam";95
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013 juli";"Amsterdam";87
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013 augustus";"Amsterdam";81
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013 september";"Amsterdam";88
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013 oktober";"Amsterdam";77
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013 november";"Amsterdam";115
"1.1.2 Diefstal/inbraak box/garage/schuur";"2013 december";"Amsterdam";105
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014 januari";"Amsterdam";102
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014  februari";"Amsterdam";113
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014 maart";"Amsterdam";102
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014 april";"Amsterdam";118
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014 mei";"Amsterdam";110
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014 juni";"Amsterdam";95
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014 juli";"Amsterdam";83
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014 augustus";"Amsterdam";81
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014 september ";"Amsterdam";95
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014 oktober";"Amsterdam";74
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014 november";"Amsterdam";96
"1.1.2 Diefstal/inbraak box/garage/schuur";"2014 december";"Amsterdam";84
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015 januari";"Amsterdam";120
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015  februari";"Amsterdam";94
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015 maart";"Amsterdam";99
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015 april";"Amsterdam";106
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015 mei";"Amsterdam";108
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015 juni";"Amsterdam";90
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015 juli";"Amsterdam";88
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015 augustus";"Amsterdam";90
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015 september";"Amsterdam";70
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015 oktober";"Amsterdam";58
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015 november";"Amsterdam";80
"1.1.2 Diefstal/inbraak box/garage/schuur";"2015 december";"Amsterdam";86
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016 januari";"Amsterdam";145
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016  februari";"Amsterdam";111
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016 maart";"Amsterdam";107
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016 april";"Amsterdam";62
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016 mei";"Amsterdam";77
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016 juni";"Amsterdam";86
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016 juli";"Amsterdam";62
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016 augustus";"Amsterdam";61
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016 september";"Amsterdam";63
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016 oktober";"Amsterdam";54
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016 november";"Amsterdam";78
"1.1.2 Diefstal/inbraak box/garage/schuur";"2016 december";"Amsterdam";73
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017 januari";"Amsterdam";84
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017 februari";"Amsterdam";115
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017 maart";"Amsterdam";110
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017 april";"Amsterdam";75
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017 mei";"Amsterdam";86
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017 juni";"Amsterdam";71
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017 juli";"Amsterdam";68
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017 augustus";"Amsterdam";41
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017 september";"Amsterdam";46
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017 oktober";"Amsterdam";54
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017 november";"Amsterdam";84
"1.1.2 Diefstal/inbraak box/garage/schuur";"2017 december";"Amsterdam";85
"1.1.2 Diefstal/inbraak box/garage/schuur";"2018 januari ";"Amsterdam";108
"1.1.2 Diefstal/inbraak box/garage/schuur";"2018 februari";"Amsterdam";92
"1.1.2 Diefstal/inbraak box/garage/schuur";"2018 maart";"Amsterdam";87
"1.1.2 Diefstal/inbraak box/garage/schuur";"2018 april";"Amsterdam";80
"1.1.2 Diefstal/inbraak box/garage/schuur";"2018 mei";"Amsterdam";70
"1.1.2 Diefstal/inbraak box/garage/schuur";"2018 juni";"Amsterdam";42
"1.1.2 Diefstal/inbraak box/garage/schuur";"2018 juli";"Amsterdam";42
"1.1.2 Diefstal/inbraak box/garage/schuur";"2018 augustus";"Amsterdam";47
